index,word,start,end,duration,probability
1,"60",0.460,0.740,0.280,
2,"segundos",0.740,1.280,0.540,
3,"antes",1.280,1.840,0.560,
4,"de",1.840,2.020,0.180,
5,"la",2.020,2.140,0.120,
6,"bomba",2.140,2.440,0.300,
7,"atómica,",2.440,3.940,1.500,
8,"Hiroshima",3.940,4.340,0.400,
9,"parecía",4.340,5.040,0.700,
10,"una",5.040,5.320,0.280,
11,"mañana",5.320,5.680,0.360,
12,"normal.",5.680,7.080,1.400,
13,"Una",7.080,7.740,0.660,
14,"pareja",7.740,8.120,0.380,
15,"anciana",8.120,8.540,0.420,
16,"terminaba",8.080,9.120,1.040,
17,"de",9.120,9.280,0.160,
18,"desayunar.",9.280,9.900,0.620,
19,"La",9.900,11.780,1.880,
20,"alarma",11.780,12.220,0.440,
21,"había",12.220,12.440,0.220,
22,"sonado",12.440,12.880,0.440,
23,"antes,",12.880,13.320,0.440,
24,"pero",13.320,14.560,1.240,
25,"ya",14.560,14.740,0.180,
26,"se",14.740,14.880,0.140,
27,"había",14.880,15.040,0.160,
28,"callado.",15.040,15.500,0.460,
29,"40",16.900,17.220,0.320,
30,"segundos.",17.220,19.160,1.940,
31,"Afuera,",19.160,20.560,1.400,
32,"niños",20.560,20.920,0.360,
33,"pasan.",20.920,22.260,1.340,
34,"Una",22.260,22.720,0.460,
35,"bicicleta",22.720,23.280,0.560,
36,"cruza.",23.280,24.280,1.000,
37,"El",24.280,24.960,0.680,
38,"sol",24.960,25.200,0.240,
39,"cae",25.200,25.460,0.260,
40,"limpio",25.460,25.960,0.500,
41,"sobre",25.960,26.200,0.240,
42,"la",26.200,26.380,0.180,
43,"calle.",26.380,27.120,0.740,
44,"Treinta",27.880,28.160,0.280,
45,"segundos.",28.160,29.080,0.920,
46,"Un",29.080,30.120,1.040,
47,"zumbido",30.120,30.620,0.500,
48,"rompe",30.620,31.060,0.440,
49,"la",31.060,31.180,0.120,
50,"mañana.",31.180,32.200,1.020,
51,"El",32.200,32.900,0.700,
52,"anciano",32.900,33.360,0.460,
53,"levanta",33.360,33.820,0.460,
54,"la",33.820,33.940,0.120,
55,"vista.",33.940,34.860,0.920,
56,"Un",34.860,35.500,0.640,
57,"B-29",35.500,35.980,0.480,
58,"atraviesa",35.980,36.880,0.900,
59,"el",36.880,37.000,0.120,
60,"cielo.",36.640,38.440,1.800,
61,"Veinte",38.440,38.820,0.380,
62,"segundos.",38.820,40.000,1.180,
63,"—Si",40.000,40.860,0.860,
64,"fuera",40.860,41.140,0.280,
65,"peligro",41.140,41.660,0.520,
66,"real,",41.660,42.280,0.620,
67,"sonaría",42.280,42.980,0.700,
68,"la",42.980,43.200,0.220,
69,"alarma",43.200,43.640,0.440,
70,"—dice",43.640,44.360,0.720,
71,"su",44.360,44.560,0.200,
72,"esposa.",44.560,44.940,0.380,
73,"Entonces,",46.080,47.280,1.200,
74,"algo",47.280,47.880,0.600,
75,"cae",47.880,48.240,0.360,
76,"del",48.240,48.420,0.180,
77,"avión.",48.420,49.560,1.140,
78,"Pequeño.",49.560,51.420,1.860,
79,"Oscuro.",51.420,53.100,1.680,
80,"Extraño.",53.100,54.800,1.700,
81,"Diez",54.800,55.180,0.380,
82,"segundos.",55.180,55.940,0.760,
83,"El",56.900,57.100,0.200,
84,"hombre",57.100,57.320,0.220,
85,"entrecierra",57.320,58.000,0.680,
86,"los",58.000,58.140,0.140,
87,"ojos.",58.140,59.220,1.080,
88,"Ahora",59.220,59.940,0.720,
89,"cae",59.940,60.200,0.260,
90,"más",60.200,60.340,0.140,
91,"rápido.",60.340,61.840,1.500,
92,"Cinco",61.840,62.240,0.400,
93,"segundos.",62.240,63.480,1.240,
94,"Vámonos.",63.480,65.220,1.740,
95,"Ahora.",65.220,66.560,1.340,
96,"Dos",66.560,67.020,0.460,
97,"segundos.",66.780,68.600,1.820,
98,"Él",68.600,68.780,0.180,
99,"busca",68.780,69.040,0.260,
100,"su",69.040,69.280,0.240,
101,"mano.",69.280,70.260,0.980,
102,"Un",70.260,70.720,0.460,
103,"segundo.",70.720,72.180,1.460,
104,"A",72.180,72.740,0.560,
105,"las",72.740,72.840,0.100,
106,"ocho",72.840,73.140,0.300,
107,"y",73.140,73.280,0.140,
108,"quince.",73.280,73.840,0.560,
109,"Un",73.840,74.600,0.760,
110,"destello",74.600,74.980,0.380,
111,"blanco",74.980,75.360,0.380,
112,"borra",75.360,75.820,0.460,
113,"Hiroshima.",75.820,76.480,0.660,
114,"Para",78.440,78.620,0.180,
115,"finales",78.620,79.100,0.480,
116,"de",79.100,79.220,0.120,
117,"1945,",79.220,81.580,2.360,
118,"unas",81.580,81.860,0.280,
119,"140.000",81.860,82.740,0.880,
120,"personas",82.740,83.280,0.540,
121,"habrían",83.280,83.720,0.440,
122,"muerto.",83.720,84.520,0.800,
